Scientific name,Authority,Year,CommonName,TypeLoc
"Bythaelurus bachi  Weigmann, Ebert, Clerkin, Stehmann & Naylor, 2016","Weigmann, Ebert, Clerkin, Stehmann & Naylor, 2016",2016,Bach's Catshark,Madagascar Ridge
"Galeus corriganae  White, Mana & Naylor, 2016","White, Mana & Naylor, 2016",2016,Corrigan's Catshark,Papua New Guinea
"Scyliorhinus cabofriensis  Soares, Gomes & de Carvalho, 2016","Soares, Gomes & de Carvalho, 2016",2016,,Brazil
"Rhynchobatus cooki  Last, Kyne & Compagno, 2016","Last, Kyne & Compagno, 2016",2016,Roughnose Wedgefish,Singapore
"Rhynchorhina mauritaniensis  S�ret & Naylor, 2016","S�ret & Naylor, 2016",2016,False Shark Ray,Mauritania
"Acroteriobatus omanensis Last, Henderson & Naylor, 2016","Last, Henderson & Naylor, 2016",2016,Oman Guitarfish,
"Rhinobatos borneensis Last, S�ret & Naylor, 2016","Last, S�ret & Naylor, 2016",2016,Borneo Guitarfish,Borneo
"Rhinobatos manai White, Last & Naylor, 2016","White, Last & Naylor, 2016",2016,Papuan Guitarfish,"New Ireland, Papua New Guinea"
"Platyrhina psomadakisi White & Last, 2016","White & Last, 2016",2016,Andaman Fanray,Andaman Sea
"Zanobatus maculatus S�ret, 2016","S�ret, 2016",2016,Maculate Panray,Gulf of Guinea
"Narcine baliensis de Carvalho & White, 2016","de Carvalho & White, 2016",2016,Indonesian Numbfish,between Bali and Lombok
"Bathyraja pacifica Last & Stewart, 2016","Last & Stewart, 2016",2016,Pacific Blonde Skate,Norfolk Ridge
"Notoraja martinezi Concha, Ebert & Long, 2016","Concha, Ebert & Long, 2016",2016,Barbedwire-tailed skate,Ecuador
"Raja parva Last & S�ret, 2016","Last & S�ret, 2016",2016,Brown Peacock Skate,Senegal
"Sinobatis andamanensis  Last & Bussarawit, 2016","Last & Bussarawit, 2016",2016,Andaman Legskate,Andaman Sea
"Sinobatis brevicauda  Weigmann  & Stehmann, 2016","Weigmann  & Stehmann, 2016",2016,Short-tail Legskate,Saya de Malha Bank
"Sinobatis kotlyari  Stehmann & Weigmann, 2016","Stehmann & Weigmann, 2016",2016,Kotlyar's Legskate,"Broken Ridge, Indian Ocean"
"Himantura australis  Last, White & Naylor, 2016","Last, White & Naylor, 2016",2016,Australian Whipray,Papua New Guinea
"Maculabatis ambigua  Last, Bogorodsky & Alpermann, 2016","Last, Bogordosky & Alpermann, 2016",2016,Baraka's Whipray,Saudi Arabia
"Maculabatis arabianensis  Manjaji-Matsumoto & Last, 2016","Manjaji-Matsumoto & Last, 2016",2016,Pakistan Whipray,Pakistan
"Maculabatis bineeshi  Manjaji-Matsumoto & Last, 2016","Manjaji-Matsumoto & Last, 2016",2016,Shorttail Whipray,India
"Neotrygon australiae  Last, White & S�ret, 2016","Last, White & S�ret, 2016",2016,Australian Bluespotted Maskray,northern Australia
"Neotrygon caeruleopunctata  Last, White & S�ret, 2016","Last, White & S�ret, 2016",2016,Bluespotted Maskray,"Bali, Indonesia"
"Neotrygon orientale  Last, White & S�ret, 2016","Last, White & S�ret, 2016",2016,Oriental Bluespotted Maskray,"Kalimantan, Indonesia"
"Taeniura lessoni  Last, White & Naylor, 2016","Last & Naylor, 2016",2016,Oceania Fantail Ray,Solomon Islands
"Urogymnus acanthobothrium Last, White & Kyne, 2016","Last, White and Kyne, 2016",2016,Mumburarr Whipray,Australia
"Potamotrygon albimaculata de Carvalho, 2016","de Carvalho, 2016",2016,Tapajos Freshwater Stingray,Brazil
"Potamotrygon jabuti de Carvalho, 2016","de Carvalho, 2016",2016,Pearl Freshwater Stingray,Brazil
"Potamotrygon rex de Carvalho, 2016","de Carvalho, 2016",2016,Giant Freshwater Stingray,Brazil
"Potamotrygon wallacei  de Carvalho, Rosa & Ara�jo, 2016","e Carvalho, Rosa & Ara�jo, 2016",2016,Wallace's Freshwater Stingray,Brazil
"Squalus mahia Viana, Lisher & de Carvalho, 2017","Viana, Lisher & de Carvalho, 2017",2017,Malagasy Skinny Dogfish,Madagascar
"Squalus margaretsmithae Viana, Lisher & de Carvalho, 2017","Viana, Lisher & de Carvalho, 2017",2017,Smith's Dogfish,South Africa
"Centrophorus lesliei  White, Ebert & Naylor, 2017","White, Ebert & Naylor, 2017",2017,African Gulper Shark,Mozambique
"Centrophorus longipinnis  White, Ebert & Naylor, 2017","White, Ebert & Naylor, 2017",2017,Longfin Gulper Shark,Taiwan
"Etmopterus lailae  Ebert, Papastamatiou, Kaijura & Wetherbee, 2017","Ebert, Papastamatiou, Kaijura & Wetherbee, 2017",2017,Laila�s Lanternshark,Hawaii
"Etmopterus samadiae  White, Ebert, Mana & Corrigan, 2017","White, Ebert, Mana & Corrigan, 2017",2017,Papuan Lanternshark,Papua New Guinea
"Apristurus yangi  White, Mana & Naylor, 2017","White, Mana & Naylor, 2017",2017,Yang�s Longnose Catshark,"Morobe, Papua New Guinea"
"Bythaelurus vivaldii  Weigmann & Kaschner, 2017","Weigmann & Kaschner, 2017",2017,Vivaldi's Catshark,off Somalia
"Rhinobatos austini  Ebert & Gon, 2017","Ebert & Gon, 2017",2017,Austin's Guitarfish,South Africa
"Notoraja sereti White, Last & Mana, 2017","White, Last & Mana, 2017",2017,Papuan Velvet Skate,Papua New Guinea
"Gymnura lessae  Yokota & de Carvalho, 2017","Yokota & de Carvalho, 2017",2017,Lessa's Butterfly Ray,"North Carolina, USA"
"Gymnura sereti  Yokota & de Carvalho, 2017","Yokota & de Carvalho, 2017",2017,S�ret's Butterfly Ray,Liberia
"Neotrygon bobwardi  Borsa, Arlyza, Hoareau & Shen, 2017","Borsa, Arlyza, Hoareau & Shen, 2017",2017,Bob Ward's Maskray,"Aceh, Indonesia"
"Neotrygon indica  Pavan-Kumar, Kumar & Borsa, 2017","Pavan-Kumar, Kumar & Borsa, 2017",2017,Indian Bluespotted Maskray,India
"Neotrygon malaccensis Borsa, Arlyza, Hoareau & Shen, 2017","Borsa, Arlyza, Hoareau & Shen, 2017",2017,Malacca Strait Maskray,"Sumatra, Indonesia"
"Neotrygon moluccensis Borsa, Arlyza, Hoareau & Shen, 2017","Borsa, Arlyza, Hoareau & Shen, 2017",2017,Moluccan Maskray,"Kei Islands, Indonesia"
"Neotrygon westpapuensis Borsa, Arlyza, Hoareau & Shen, 2017","Borsa, Arlyza, Hoareau & Shen, 2017",2017,West Papuan  Maskray,"West Papua, Indonesia"
"Potamotrygon adamastor  Fontenelle & de Carvalho, 2017","Fontenelle, J.P. & de Carvalho, 2017",2017,,Brazil
"Potamotrygon amazona Fontenelle, & de Carvalho, 2017","Fontenelle, J.P. & de Carvalho, 2017",2017,,Brazil
"Potamotrygon garmani  Fontenelle, J.P. & de Carvalho, 2017","Fontenelle, J.P. & de Carvalho, 2017",2017,,Brazil
"Chimaera buccanigella Clerkin, Ebert & Kemper, 2017","Clerkin, Ebert & Kemper, 2017",2017,Dark-mouth Chimaera,Walters Shoal
"Chimaera didierae Clerkin, Ebert & Kemper, 2017","Clerkin, Ebert & Kemper, 2017",2017,The Falkor Chimaera,Madagascar Ridge
"Chimaera willwatchi Clerkin, Ebert & Kemper, 2017","Clerkin, Ebert & Kemper, 2017",2017,Seafarer�s Ghost Shark,Southwest Indian Ocean Ridge
"Hydrolagus erithacus  Walovich, Ebert & Kemper, 2017","Walovich, Ebert & Kemper, 2017",2017,Robin�s Ghostshark,Southeastern Atlantic
"Squalus clarkae  Pfleger, Grubbs, Cotton & Daly-Engel, 2018","Pfleger, Grubbs, Cotton & Daly-Engel, 2018",2018,Genie's Dogfish,Gulf of Mexico
"Squalus hawaiiensis  Daly-Engel, Koch, Anderson, Cotton & Grubbs, 2018","Daly-Engel, Koch, Anderson, Cotton & Grubbs, 2018",2018,Hawaiian Spurdog,Hawaii
"Etmopterus marshae Ebert & van Hees, 2018","Ebert & van Hees, 2018",2018,Marsha's Lanternshark,Philippines
"Etmopterus parini  Dolganov & Balanov, 2018","Dolganov & Balanov, 2018",2018,Parin's Lanternshark,Open waters of the northwestern Pacific
"Squatina varii  Vaz & Carvalho, 2018","Vaz & Carvalho, 2018",2018,,Brazil
"Bythaelurus stewarti  Weigmann, Kaschner & Thiel, 2018","Weigmann, Kaschner & Thiel, 2018",2018,Error Seamount Catshark,Error Seamount
"Parmaturus nigripalatum  Fahmi & Ebert, 2018","Fahmi & Ebert, 2018",2018,Indonesian Filetail Catshark,"Sumbawa, Indonesia"
"Planonasus indicus  Ebert, Akhilesh & Weigmann, 2018","Ebert, Akhilesh & Weigmann, 2018",2018,Eastern Dwarf False Catshark,"Cochin, India"
"Squalus boretzi  Dolganov, 2019","Dolganov, 2019",2019,Boretzi's Spurdog,NW Pacific Ocean
"Mollisquama mississippiensis  Grace, Doosey, Denton, Naylor, Bart & Maisey, 2019","Grace, Doosey, Denton, Naylor, Bart & Maisey, 2019",2019,,Gulf of Mexico
"Parmaturus angelae  Soares, Carvalho, Schwingel & Gadig 2019","Soares, Carvalho, Schwingel & Gadig 2019",2019,Brazilian Filetail Catshark,Brazil
"Akheilos suwartanai  White, Fahmi & Weigmann, 2019","White, Fahmi & Weigmann, 2019",2019,Ambon Catshark,"Ambon, Indonesia"
"Carcharhinus obsoletus  White, Kyne & Harris 2019","White, Kyne & Harris, 2019",2019,Lost Shark,Bangkok
"Pseudobatos buthi  Rutledge, 2019","Rutledge, 2019",2019,Spadenose Guitarfish,"Gulf of California, Mexico"
"Rhinobatos ranongensis  Last, S�ret & Naylor, 2019","Last, S�ret & Naylor, 2019",2019,Ranong Guitarfish,Myanmar
"Leucoraja elaineae  Ebert & Leslie, 2019","Ebert & Leslie, 2019",2019,Elaine's Skate,Kenya
"Potamotrygon marquesi  Silva & Loboda, 2019","Silva & Loboda, 2019",2019,,Brazil
"Squalus shiraii  Viana & de Carvalho, 2020","Viana & de Carvalho, 2020",2020,Shirai's Spurdog ,Okinawa Trough
"Somniosus cheni  Hsu, Lin & Joung, 2020","Hsu, Lin & Joung, 2020",2020,Taiwan Sleeper Shark,eastern Taiwan
"Pliotrema annae  Weigmann, Gon, Leeney & Temple, 2020","Weigmann, Gon, Leeney & Temple, 2020",2020,Anna's sixgill sawshark,Zanzibar
"Pliotrema kajae  Weigmann, Gon, Leeney & Temple, 2020","Weigmann, Gon, Leeney & Temple, 2020",2020,Kaja�s sixgill sawshark,Madagascar
"Bathyraja sexoculata  Misawa, Orlov, Orlova, Goreev, Ishihara, Hamatsu, Ueda, Fujiwara, Endo & Kai, 2020","Misawa, Orlov, Orlova, Goreev, Ishihara, Hamatsu, Ueda, Fujiwara, Endo & Kai, 2020",2020,Simushir Skate,"Kuril Islands, Russia"
"Hemitrygon yemenensis  Moore, Last & Naylor, 2020","Moore, Last & Naylor, 2020",2020,Hein's Stingray,Yemen
"Hypanus berthalutzae Petean, Naylor & Lima 2020","Petean, Naylor & Lima, 2020",2020,Lutz's Stingray,Brazil
"Potamotrygon roulini  Roberts, 2020","Roberts, 2020",2020,Roulin's Freshwater Stingray,Colombia
"Etmopterus brosei  Ebert, Leslie & Weigmann, 2021","Ebert, Leslie & Weigmann, 2021",2021,Barrie�s Lanternshark,South Africa + SW Indian
"Apristurus manocheriani  Cordova & Ebert, 2021","Cordova & Ebert, 2021",2021,Manocherian�s Catshark,SW Indian Ocean
"Mustelus andamanensis  White, Arunrugstichai & Naylor, 2021","White, Arunrugstichai & Naylor, 2021",2021,Andaman Smoothhound,Thailand
"Rhynchobatus mononoke  Koeda, Itou, Yamada & Motomura, 2021","Koeda, Itou, Yamada & Motomura, 2021",2021,Japanese Wedgefish,"Kagoshima, Japan"
"Glaucostegus younholeei  Habib & Islam, 2021","Habib & Islam, 2021",2021,Bangladeshi guitarfish,Bangladesh
"Raja mauritaniensis White & Fricke, 2021","White & Fricke, 2021",2021,African Skate,Mauritania
"Squalus bassi  Viana, de Carvalho & Ebert, 2017","Viana, de Carvalho & Ebert, 2017",2017,,South Africa
"Notoraja hesperindica  Weigmann, Seret & Stehmann, 2021","Weigmann, Seret & Stehmann, 2021",2021,Western Blue Skate,southern Mozambique
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
