Scientific name,Authority,Year,CommonName,TypeLoc
"Hemiscyllium galei  Allen & Erdmann, 2008","Allen & Erdmann, 2008",2008,Cenderwasih Epaulette Shark ,"Irian Jaya, Indonesia"
"Hemiscyllium henryi  Allen & Erdmann, 2008","Allen & Erdmann, 2008",2008,Triton Epaulette Shark ,"Irian Jaya, Indonesia"
"Apristurus ampliceps  Sasahara, Sato & Nakaya, 2008 ","Sasahara, Sato & Nakaya, 2008 ",2008,Roughskin Catshark,New Zealand
"Apristurus australis  Sato, Nakaya & Yorozu, 2008 ","Sato, Nakaya & Yorozu, 2008",2008,Pinocchio Catshark,"New South Wales, Australia"
"Apristurus bucephalus  White, Last & Pogonoski, 2008","White, Last & Pogonoski, 2008",2008,Bighead Catshark,"Western Australia, Australia"
"Asymbolus galacticus  S�ret & Last, 2008","S�ret & Last, 2008",2008,Starry Catshark,New Caledonia
"Bythaelurus incanus  Last & Stevens, 2008 ","Last & Stevens, 2008",2008,Dusky Catshark,"Western Australia, Australia"
"Figaro striatus Gledhill, Last & White, 2008 ","Gledhill, Last & White, 2008",2008,Northern Sawtail Shark,"Queensland, Australia"
"Galeus priapus S�ret & Last, 2008","S�ret & Last, 2008",2008,Phallic Catshark,New Caledonia
"Cephaloscyllium albipinnum  Last, Motomura & White, 2008 ","Last, Motomura & White, 2008",2008,Whitefin Swellshark,"Tasmania, Australia"
"Cephaloscyllium cooki  Last, S�ret & White, 2008 ","Last, S�ret & White, 2008",2008,Cook's Swellshark,"Northern Territory, Australia"
"Cephaloscyllium hiscosellum  White & Ebert, 2008","White & Ebert, 2008",2008,Australian Reticulate Swell Shark,"Western Australia, Australia"
"Cephaloscyllium pictum  Last, S�ret & White, 2008","Last, S�ret & White, 2008",2008,Painted Swellshark,"Lombok, Indonesia"
"Cephaloscyllium signourum   Last, S�ret & White, 2008 ","Last, S�ret & White, 2008",2008,Flagtail Swellshark,"Queensland, Australia"
"Cephaloscyllium speccum  Last, S�ret & White, 2008","Last, S�ret & White, 2008",2008,Speckled Swellshark,"Western Australia, Australia"
"Cephaloscyllium variegatum  Last & White, 2008 ","Last & White, 2008",2008,Saddled Swellshark,"New South Wales, Australia"
"Cephaloscyllium zebrum  Last & White, 2008 ","Last & White, 2008",2008,Narrowbar Swellshark,"Queensland, Australia"
"Mustelus stevensi  White & Last, 2008","White & Last, 2008",2008,Western Spotted Gummy Shark,"Western Australia, Australia"
"Glyphis garricki  Compagno, White & Last, 2008","Compagno, White & Last, 2008",2008,Northern River Shark,"Western Australia, Australia"
"Rhynchobatus palpebratus  Compagno & Last, 2008","Compagno & Last, 2008",2008,Eyebrow Wedgefish,"Northern Territory, Australia"
"Discopyge castelloi  Menni, Rincon & Garcia, 2008","Menni, Rincon & Garcia, 2008",2008,Castello's Apron Numbfish,Argentina
"Narcinops nelsoni  (de Carvalho, 2008)","Carvalho, 2008",2008,East Australian Numbfish,"Queensland, Australia"
"Narcinops ornata  (de Carvalho, 2008)","(Carvalho, 2008)",2008,Ornate Numbfish,"Queensland, Australia"
"Irolita westraliensis  Last & Gledhill, 2008","Last & Gledhill, 2008",2008,Western Round Skate,"Western Australia, Australia"
"Notoraja azurea  McEachran & Last, 2008","McEachran & Last, 2008",2008,Blue Skate,"Tasmania, Australia"
"Notoraja lira  McEachran & Last, 2008","McEachran & Last, 2008",2008,Broken Ridge Skate,"Broken Ridge, Indian Ocean"
"Notoraja sticta  McEachran & Last, 2008","McEachran & Last, 2008",2008,Blotched Skate,"South Australia, Australia"
"Pavoraja arenaria Last, Mallick & Yearsley, 2008","Last, Mallick & Yearsley, 2008",2008,Australian Sandy Skate,"Western Australia, Australia"
"Pavoraja mosaica  Last, Mallick & Yearsley, 2008","Last, Mallick & Yearsley, 2008",2008,Mosaic Skate,"Queensland, Australia"
"Pavoraja pseudonitida  Last, Mallick & Yearsley, 2008 ","Last, Mallick & Yearsley, 2008",2008,False Peacock Skate,"Queensland, Australia"
"Pavoraja umbrosa  Last, Mallick & Yearsley, 2008","Last, Mallick & Yearsley, 2008",2008,Dusky Skate,"Queensland, Australia"
"Dentiraja confusus  (Last, 2008)","(Last, 2008)",2008,Australian Longnose Skate,"Victoria, Australia"
"Dentiraja endeavouri   (Last, 2008)","(Last, 2008)",2008,Endeavour Skate,"Queensland, Australia"
"Dentiraja falloargus  (Last, 2008)","(Last, 2008)",2008,False Argus Skate,"Western Australia, Australia"
"Dentiraja flindersi  Last & Gledhill, 2008","Last & Gledhill, 2008",2008,Pygmy Thornback Skate,"South Australia, Australia"
"Dentiraja healdi  (Last, White & Pogonoski, 2008)","(Last, White & Pogonoski, 2008)",2008,Heald's Skate,"Western Australia, Australia"
"Dentiraja oculata  (Last, 2008)","(Last, 2008)",2008,Australian Ocellate Skate,"Western Australia, Australia"
"Dipturus acrobelus  Last, White & Pogonoski, 2008","Last, White & Pogonoski, 2008",2008,Australian Deepwater Skate,"Tasmania, Australia"
"Dipturus apricus  Last, White & Pogonoski, 2008","Last, White & Pogonoski, 2008",2008,Pale Tropical Skate,"Queensland, Australia"
"Dipturus canutus  Last, 2008","Last, 2008",2008,Grey Skate,"Tasmania, Australia"
"Dipturus grahami  Last, 2008","Last, 2008",2008,Graham's Skate,"New South Wales, Australia"
"Dipturus melanospilus  Last, White & Pogonoski, 2008","Last, White & Pogonoski, 2008",2008,Blacktip Skate,"Queensland, Australia"
"Dipturus queenslandicus Last, White & Pogonoski, 2008","Last, White & Pogonoski, 2008",2008,Queensland Deepwater Skate,"Queensland, Australia"
"Dipturus wengi  S�ret & Last, 2008","S�ret & Last, 2008",2008,Weng's Skate,"New South Wales, Australia"
"Dipturus wuhanlingi  Jeong & Nakabo, 2008","Jeong & Nakabo, 2008",2008,China Skate,South China Sea
"Leucoraja pristispina  Last, Stehmann & S�ret, 2008","Last, Stehmann & S�ret, 2008",2008,Sawback Skate,"Western Australia, Australia"
"Neoraja iberica  Stehmann, S�ret, Costa & Baro, 2008","Stehmann, S�ret, Costa & Baro, 2008",2008,Iberian Dwarf Skate,"Iberian Peninsula, eastern N Atlantic"
"Okamejei arafurensis  Last & Gledhill, 2008","Last & Gledhill, 2008",2008,Arafura Skate,"Northern Territory, Australia"
"Okamejei leptoura  Last & Gledhill, 2008","Last & Gledhill, 2008",2008,Australian Thintail Skate,"Western Australia, Australia"
"Rajella challengeri  Last & Stehmann, 2008","Last & Stehmann, 2008",2008,Challenger Skate,"Tasmania, Australia"
"Zearaja argentinensis  (de Astarloa, Mabragana, Hanner & Figueroa, 2008)","(deAstarloa, Mabragana, Hanner & Figueroa, 2008)",2008,Argentine Skate,Argentina
"Sinobatis bulbicauda  Last & S�ret, 2008","Last & S�ret, 2008",2008,West Australian Legskate,"Western Australia, Australia"
"Sinobatis caerulea  Last & S�ret, 2008","Last & S�ret, 2008",2008,Indigo Legskate,"Western Australia, Australia"
"Sinobatis filicauda  Last & S�ret, 2008","Last & S�ret, 2008",2008,East Australian Legskate,"Queensland, Australia"
"Hemitrygon parvonigra  (Last & White, 2008)","(Last & White, 2008)",2008,Dwarf Black Stingray,"Western Australia, Australia"
"Himantura leoparda  Manjaji-Matsumoto & Last, 2008","Manjaji-Matsumoto & Last, 2008",2008,Leopard Whipray,"Queensland, Australia"
"Maculabatis astra  (Last, Manjaji-Matsumoto & Pogonoski, 2008)","(Last, Manjaji-Matsumoto & Pogonoski, 2008)",2008,Blackspotted Whipray,"Queensland, Australia"
"Neotrygon picta  Last & White, 2008","Last & White, 2008",2008,Speckled Maskray,"Queensland, Australia"
"Urogymnus dalyensis  (Last & Manjaji-Matsumoto, 2008)","(Last & Manjaji-Matsumoto, 2008)",2008,Freshwater Whipray,"Western Australia, Australia"
"Potamotrygon boesemani  Rosa, de Carvalho & Wanderley, 2008","Rosa, de Carvalho & Wanderley, 2008",2008,Surinam Freshwater Stingray,Suriname
"Trygonoptera galba Last & Yearsley, 2008","Last & Yearsley, 2008",2008,Yellow Shovelnose Stingaree,"Western Australia, Australia"
"Trygonoptera imitata  Yearsley, Last & Gomon, 2008","Yearsley, Last & Gomon, 2008",2008,Eastern Shovelnose Stingaree,"Victoria, Australia"
"Chimaera argiloba Last, White & Pogonoski, 2008 ","Last, White & Pogonoski, 2008",2008,Whitefin Chimaera,"Western Australia, Australia"
